cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,createThumbnail,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,createThumbnail,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,1.0,0.2507505416870117,1.3828277587890625e-05,4.76837158203125e-07,0.2927224636077881,1.430511474609375e-06,0.5960872173309326,latency_loss,0.618,0.618,0.618,0
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,1.0,0.2747156620025635,1.5974044799804688e-05,1.430511474609375e-06,0.27564573287963867,1.1920928955078125e-06,0.6169168949127197,latency_loss,0.645,0.645,0.645,1
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,1.0,0.27433180809020996,1.9311904907226562e-05,9.5367431640625e-07,0.27467942237854004,7.152557373046875e-07,0.6070680618286133,latency_loss,0.64,0.64,0.64,2
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,1.0,0.6200108528137207,1.7642974853515625e-05,4.76837158203125e-07,0.47909975051879883,1.6689300537109375e-06,1.1643891334533691,latency_loss,1.194,1.194,1.194,3
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,1.0,0.3303542137145996,2.2172927856445312e-05,2.1457672119140625e-06,0.5346918106079102,1.6450881958007812e-05,0.9273991584777832,latency_loss,0.955,0.955,0.955,4
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,1.0,0.38480472564697266,1.6450881958007812e-05,4.76837158203125e-07,0.4468116760253906,1.1920928955078125e-06,0.890716552734375,latency_loss,0.924,0.924,0.924,5
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,1.0,0.40401172637939453,1.5497207641601562e-05,1.6689300537109375e-06,0.29728055000305176,9.5367431640625e-07,0.7601344585418701,latency_loss,0.789,0.789,0.789,6
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,1.0,0.43038177490234375,1.8358230590820312e-05,9.5367431640625e-07,0.36135149002075195,1.9073486328125e-06,0.8539400100708008,latency_loss,0.913,0.913,0.913,7
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,1.0,0.2986114025115967,1.8835067749023438e-05,1.1920928955078125e-06,0.31333160400390625,1.6689300537109375e-06,0.6730217933654785,latency_loss,0.707,0.707,0.707,8
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,1.0,0.2671518325805664,1.71661376953125e-05,4.76837158203125e-07,0.3154468536376953,9.5367431640625e-07,0.6540193557739258,latency_loss,0.705,0.705,0.705,9
1,1,1Gi,1.0,1.0,0.7,1.0,1.0,1.0,0.26853013038635254,6.9141387939453125e-06,1.6689300537109375e-06,0.3087313175201416,7.152557373046875e-07,0.6368215084075928,latency_loss,0.66,0.66,0.66,0
1,1,1Gi,1.0,1.0,0.7,1.0,1.0,1.0,0.2848517894744873,5.7220458984375e-06,1.430511474609375e-06,0.2460024356842041,7.152557373046875e-07,0.5957410335540771,latency_loss,0.662,0.662,0.662,1
1,1,1Gi,1.0,1.0,0.7,1.0,1.0,1.0,0.24659228324890137,7.152557373046875e-06,1.6689300537109375e-06,0.2524855136871338,9.5367431640625e-07,0.5634393692016602,latency_loss,0.591,0.591,0.591,2
1,1,1Gi,1.0,1.0,0.7,1.0,1.0,1.0,0.2838139533996582,7.152557373046875e-06,1.1920928955078125e-06,0.28597474098205566,1.430511474609375e-06,0.6344046592712402,latency_loss,0.703,0.703,0.703,3
1,1,1Gi,1.0,1.0,0.7,1.0,1.0,1.0,0.22582006454467773,2.5510787963867188e-05,9.5367431640625e-07,0.2581508159637451,1.430511474609375e-06,0.5501091480255127,latency_loss,0.58,0.58,0.58,4
1,1,1Gi,1.0,1.0,0.7,1.0,1.0,1.0,0.28945302963256836,6.9141387939453125e-06,2.384185791015625e-06,0.29250121116638184,9.5367431640625e-07,0.6401808261871338,latency_loss,0.676,0.676,0.676,5
1,1,1Gi,1.0,1.0,0.7,1.0,1.0,1.0,0.2516896724700928,1.621246337890625e-05,1.6689300537109375e-06,0.27825069427490234,1.1920928955078125e-06,0.5901679992675781,latency_loss,0.62,0.62,0.62,6
1,1,1Gi,1.0,1.0,0.7,1.0,1.0,1.0,0.24193525314331055,7.867813110351562e-06,1.6689300537109375e-06,0.2529478073120117,3.0994415283203125e-06,0.5502665042877197,latency_loss,0.579,0.579,0.579,7
1,1,1Gi,1.0,1.0,0.7,1.0,1.0,1.0,0.29656243324279785,7.152557373046875e-06,1.6689300537109375e-06,0.293651819229126,9.5367431640625e-07,0.6586003303527832,latency_loss,0.69,0.69,0.69,8
1,1,1Gi,1.0,1.0,0.7,1.0,1.0,1.0,0.26161623001098633,5.4836273193359375e-06,9.5367431640625e-07,0.27930283546447754,9.5367431640625e-07,0.5982644557952881,latency_loss,0.636,0.636,0.636,9
1,1,1Gi,1.0,1.0,0.4,1.0,1.0,1.0,0.3247666358947754,7.3909759521484375e-06,1.1920928955078125e-06,0.25777411460876465,1.6689300537109375e-06,0.643517255783081,latency_loss,0.668,0.668,0.668,0
1,1,1Gi,1.0,1.0,0.4,1.0,1.0,1.0,0.2263956069946289,7.152557373046875e-06,1.430511474609375e-06,0.24238944053649902,1.430511474609375e-06,0.5282442569732666,latency_loss,0.559,0.559,0.559,1
1,1,1Gi,1.0,1.0,0.4,1.0,1.0,1.0,0.21617555618286133,5.4836273193359375e-06,1.430511474609375e-06,0.2770066261291504,1.1920928955078125e-06,0.5548100471496582,latency_loss,0.593,0.593,0.593,2
1,1,1Gi,1.0,1.0,0.4,1.0,1.0,1.0,0.2526373863220215,7.3909759521484375e-06,1.9073486328125e-06,0.23951077461242676,9.5367431640625e-07,0.5494019985198975,latency_loss,0.583,0.583,0.583,3
1,1,1Gi,1.0,1.0,0.4,1.0,1.0,1.0,0.27417612075805664,9.775161743164062e-06,1.430511474609375e-06,0.266329288482666,9.5367431640625e-07,0.606309175491333,latency_loss,0.686,0.686,0.686,4
1,1,1Gi,1.0,1.0,0.4,1.0,1.0,1.0,0.23162341117858887,8.344650268554688e-06,1.6689300537109375e-06,0.2740030288696289,9.5367431640625e-07,0.5589828491210938,latency_loss,0.591,0.591,0.591,5
