cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,0.7,1.0,0.1,0.24317121505737305,7.62939453125e-06,0.26282310485839844,3.0994415283203125e-06,latency_loss,0.576,0.576,0.5059999704360961,4
1,1,1Gi,1.0,0.7,0.7,1.0,0.24039697647094727,1.3828277587890625e-05,0.27724146842956543,9.5367431640625e-07,latency_loss,0.588,0.588,0.434476637840271,0
1,1,1Gi,1.0,0.7,0.7,1.0,0.2428898811340332,9.775161743164062e-06,0.2772810459136963,1.430511474609375e-06,latency_loss,0.587,0.587,0.4369948863983154,1
1,1,1Gi,1.0,0.7,0.7,1.0,0.24343037605285645,1.33514404296875e-05,0.26932668685913086,1.430511474609375e-06,latency_loss,0.609,0.609,0.4319698333740234,2
1,1,1Gi,1.0,0.7,0.7,1.0,0.23434925079345703,1.4543533325195312e-05,0.2743973731994629,1.430511474609375e-06,latency_loss,0.588,0.588,0.4264390230178833,3
1,1,1Gi,1.0,0.7,0.7,1.0,0.24265551567077637,1.3113021850585938e-05,0.27884554862976074,7.152557373046875e-07,latency_loss,0.592,0.592,0.4378572940826416,4
1,1,1Gi,1.0,0.7,0.7,0.7,0.23826241493225098,2.288818359375e-05,0.2793922424316406,2.384185791015625e-06,latency_loss,0.59,0.59,0.43385467529296873,0
1,1,1Gi,1.0,0.7,0.7,0.7,0.23465299606323242,1.4543533325195312e-05,0.2864556312561035,2.6226043701171875e-06,latency_loss,0.597,0.597,0.43518395423889156,1
1,1,1Gi,1.0,0.7,0.7,0.7,0.23764586448669434,1.2636184692382812e-05,0.27886366844177246,2.384185791015625e-06,latency_loss,0.588,0.588,0.4328609466552734,2
1,1,1Gi,1.0,0.7,0.7,0.7,0.23996210098266602,1.0728836059570312e-05,0.2699575424194336,2.6226043701171875e-06,latency_loss,0.618,0.618,0.42894172668457026,3
