cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,createThumbnail,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,createThumbnail,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,1.0,0.1,0.1,0.1,0.1,0.22986102104187012,6.67572021484375e-06,1.430511474609375e-06,0.812391996383667,3.337860107421875e-06,1.1417465209960938,latency_loss,1.186,1.186,0.4252820253372192,3
1,1,1Gi,1.0,1.0,0.1,0.1,0.1,0.1,0.25404787063598633,5.7220458984375e-06,3.0994415283203125e-06,0.6901905536651611,3.337860107421875e-06,1.0826036930084229,latency_loss,1.149,1.149,0.43133366107940674,4
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,1.0,0.25212597846984863,1.8358230590820312e-05,1.1920928955078125e-06,0.23404955863952637,9.5367431640625e-07,0.5488185882568359,latency_loss,0.58,0.58,1.034998106956482,0
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,1.0,0.2035362720489502,1.5497207641601562e-05,1.1920928955078125e-06,0.2842843532562256,1.430511474609375e-06,0.5480010509490967,latency_loss,0.588,0.588,1.0358258485794067,1
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,1.0,0.22276759147644043,1.8358230590820312e-05,7.152557373046875e-07,0.22199034690856934,1.1920928955078125e-06,0.49692225456237793,latency_loss,0.529,0.529,0.9416839361190796,2
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,1.0,0.2422165870666504,1.1205673217773438e-05,7.152557373046875e-07,0.26930785179138184,1.430511474609375e-06,0.5691788196563721,latency_loss,0.602,0.602,1.080706524848938,3
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,1.0,0.21004915237426758,1.4066696166992188e-05,1.6689300537109375e-06,0.2694075107574463,9.5367431640625e-07,0.5385594367980957,latency_loss,0.561,0.561,1.0180201292037965,4
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,0.1,0.2790086269378662,1.430511474609375e-05,1.430511474609375e-06,0.3278813362121582,9.5367431640625e-07,0.6839573383331299,latency_loss,0.71,0.71,0.675289511680603,0
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,0.1,0.2172536849975586,1.71661376953125e-05,9.5367431640625e-07,0.2725045680999756,9.5367431640625e-07,0.5828499794006348,latency_loss,0.657,0.657,0.548046875,1
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,0.1,0.25867748260498047,1.7404556274414062e-05,4.76837158203125e-07,0.26758646965026855,1.1920928955078125e-06,0.599815845489502,latency_loss,0.65,0.65,0.5862489461898803,2
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,0.1,0.23223328590393066,9.298324584960938e-06,4.76837158203125e-07,0.29903078079223633,1.1920928955078125e-06,0.6244223117828369,latency_loss,0.669,0.669,0.5937088966369629,3
